time_ms	gaze_left_x_px	gaze_left_y_px	gaze_right_x_px	gaze_right_y_px	validity_left	validity_right	eye_left_x_mm	eye_left_y_mm	eye_left_z_mm	eye_right_x_mm	eye_right_y_mm	eye_right_z_mm	gt_event_type	gt_event_index
114					Invalid	Invalid							EyesNotFound	1.0
123					Invalid	Invalid							EyesNotFound	1.0
131					Invalid	Invalid							EyesNotFound	1.0
139					Invalid	Invalid							EyesNotFound	1.0
148					Invalid	Invalid							EyesNotFound	1.0
156					Invalid	Invalid							EyesNotFound	1.0
164					Invalid	Invalid							EyesNotFound	1.0
173					Invalid	Invalid							EyesNotFound	1.0
181					Invalid	Invalid							EyesNotFound	1.0
189					Invalid	Invalid							EyesNotFound	1.0
198					Invalid	Invalid							EyesNotFound	1.0
206					Invalid	Invalid							EyesNotFound	1.0
214					Invalid	Invalid							EyesNotFound	1.0
223					Invalid	Invalid							EyesNotFound	1.0
231					Invalid	Invalid							EyesNotFound	1.0
239					Invalid	Invalid							EyesNotFound	1.0
248					Invalid	Invalid							EyesNotFound	1.0
256					Invalid	Invalid							EyesNotFound	1.0
264					Invalid	Invalid							EyesNotFound	1.0
273					Invalid	Invalid							EyesNotFound	1.0
281					Invalid	Invalid							EyesNotFound	1.0
289					Invalid	Invalid							EyesNotFound	1.0
298	943.0	481.0	959.0	493.0	Valid	Valid	223,8	108,8	573,4	280,7	107,1	567,0	Fixation	1.0
306	941.0	488.0	960.0	493.0	Valid	Valid	223,9	108,7	573,2	280,7	106,9	567,2	Fixation	1.0
314	938.0	485.0	961.0	494.0	Valid	Valid	223,9	108,6	573,4	280,8	106,9	567,0	Fixation	1.0
323	945.0	483.0	960.0	489.0	Valid	Valid	224,0	108,5	573,2	280,8	106,8	567,2	Fixation	1.0
331	939.0	488.0	959.0	493.0	Valid	Valid	224,0	108,4	573,3	280,9	106,7	567,1	Fixation	1.0
339	944.0	480.0	955.0	491.0	Valid	Valid	224,1	108,3	573,3	280,9	106,7	567,1	Fixation	1.0
348	944.0	485.0	957.0	490.0	Valid	Valid	224,1	108,3	573,2	281,0	106,6	567,3	Fixation	1.0
356	939.0	487.0	963.0	494.0	Valid	Valid	224,2	108,2	573,4	281,0	106,6	567,1	Fixation	1.0
364	942.0	489.0	957.0	494.0	Valid	Valid	224,2	108,2	573,4	281,1	106,5	567,3	Fixation	1.0
373	941.0	486.0	961.0	491.0	Valid	Valid	224,3	108,2	573,4	281,1	106,5	567,3	Fixation	1.0
381	935.0	486.0	959.0	491.0	Valid	Valid	224,3	108,2	573,5	281,2	106,6	567,3	Fixation	1.0
389	942.0	488.0	957.0	494.0	Valid	Valid	224,3	108,3	573,5	281,2	106,6	567,5	Fixation	1.0
398	942.0	487.0	960.0	493.0	Valid	Valid	224,4	108,3	573,6	281,3	106,6	567,6	Fixation	1.0
406	940.0	489.0	960.0	495.0	Valid	Valid	224,4	108,4	573,7	281,3	106,7	567,6	Fixation	1.0
414	948.0	486.0	957.0	494.0	Valid	Valid	224,5	108,5	573,7	281,4	106,8	567,7	Fixation	1.0
423	940.0	489.0	961.0	494.0	Valid	Valid	224,5	108,5	573,9	281,4	106,8	567,8	Fixation	1.0
431	946.0	484.0	960.0	495.0	Valid	Valid	224,6	108,6	573,7	281,5	106,9	567,8	Fixation	1.0
439	941.0	485.0	964.0	495.0	Valid	Valid	224,6	108,6	574,0	281,6	106,9	567,8	Fixation	1.0
448	945.0	488.0	955.0	492.0	Valid	Valid	224,7	108,6	573,9	281,6	106,9	567,9	Fixation	1.0
456	944.0	490.0	959.0	492.0	Valid	Valid	224,8	108,5	574,0	281,7	106,8	568,0	Fixation	1.0
464	945.0	488.0	960.0	493.0	Valid	Valid	224,8	108,5	573,9	281,8	106,8	567,9	Fixation	1.0
473	942.0	492.0	956.0	494.0	Valid	Valid	224,9	108,4	574,1	281,8	106,7	568,1	Fixation	1.0
481	944.0	483.0	958.0	494.0	Valid	Valid	225,0	108,4	573,9	281,9	106,7	567,9	Fixation	1.0
489	939.0	492.0	957.0	495.0	Valid	Valid	225,0	108,3	574,0	282,0	106,6	568,1	Fixation	1.0
498	945.0	487.0	960.0	493.0	Valid	Valid	225,1	108,2	573,9	282,0	106,5	568,0	Fixation	1.0
506	945.0	488.0	955.0	489.0	Valid	Valid	225,2	108,0	574,1	282,1	106,4	568,2	Fixation	1.0
514	947.0	492.0	957.0	495.0	Valid	Valid	225,2	108,0	573,9	282,2	106,4	568,0	Fixation	1.0
523	946.0	488.0	956.0	490.0	Valid	Valid	225,3	107,9	574,2	282,2	106,3	568,1	Fixation	1.0
531	945.0	492.0	953.0	494.0	Valid	Valid	225,3	107,9	573,9	282,3	106,2	568,1	Fixation	1.0
539	943.0	492.0	957.0	496.0	Valid	Valid	225,4	107,7	574,2	282,3	106,2	568,1	Fixation	1.0
548	944.0	488.0	960.0	490.0	Valid	Valid	225,5	107,8	574,0	282,4	106,1	568,2	Fixation	1.0
556	943.0	485.0	958.0	493.0	Valid	Valid	225,5	107,7	574,1	282,5	106,1	568,1	Fixation	1.0
564	944.0	487.0	957.0	495.0	Valid	Valid	225,6	107,7	574,1	282,5	106,1	568,3	Fixation	1.0
573	942.0	487.0	957.0	496.0	Valid	Valid	225,6	107,7	574,2	282,6	106,1	568,3	Fixation	1.0
581	947.0	493.0	957.0	494.0	Valid	Valid	225,7	107,7	574,2	282,7	106,1	568,5	Fixation	1.0
589	942.0	494.0	954.0	492.0	Valid	Valid	225,8	107,7	574,3	282,7	106,2	568,3	Fixation	1.0
598	948.0	492.0	955.0	495.0	Valid	Valid	225,8	107,7	574,3	282,8	106,2	568,5	Fixation	1.0
