Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Recording monitor latency [ms]	Average calibration accuracy [mm]	Average calibration precision SD [mm]	Average calibration precision RMS [mm]	Average calibration accuracy [°]	Average calibration precision SD [°]	Average calibration precision RMS [°]	Average calibration accuracy [px]	Average calibration precision SD [px]	Average calibration precision RMS [px]	Average validation accuracy [mm]	Average validation precision SD [mm]	Average validation precision RMS [mm]	Average validation accuracy [°]	Average validation precision SD [°]	Average validation precision RMS [°]	Average validation accuracy [px]	Average validation precision SD [px]	Average validation precision RMS [px]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [DACS px]	Gaze point Y [DACS px]	Gaze point left X [DACS px]	Gaze point left Y [DACS px]	Gaze point right X [DACS px]	Gaze point right Y [DACS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Pupil diameter filtered [mm]	Eye openness left [mm]	Eye openness right [mm]	Eye openness filtered [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point left X [DACS mm]	Gaze point left Y [DACS mm]	Gaze point right X [DACS mm]	Gaze point right Y [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Presented Stimulus name	Presented Media name	Presented Media width [px]	Presented Media height [px]	Presented Media position X [DACS px]	Presented Media position Y [DACS px]	Original Media width [px]	Original Media height [px]	Eye movement type	Eye movement event duration [ms]	Eye movement type index	Fixation point X [DACS px]	Fixation point Y [DACS px]	Fixation point X [MCS norm]	Fixation point Y [MCS norm]	Ungrouped	Client area position X [px]	Client area position Y [px]	Viewport position X [px]	Viewport position Y [px]	Viewport width [px]	Viewport height [px]	Full page width [px]	Full page height [px]	Mouse position X [DACS px]	Mouse position Y [DACS px]
0	5657211		I-VT-normal	06.05.2025	Alex	alex1	06.05.2025	06.05.2025	14:39:57.651	12:39:57.651	241196	Normal_300	Tobii I-VT (Fixation)	24.21.435	1080	1920	10,00	1,2	2,3	2,2	0,11	0,20	0,19	4	8	8	3,4	1,2	0,5	0,32	0,11	0,05	12	4	2		RecordingStart																																																															
203	5657414	Eye Tracker	I-VT-normal	06.05.2025	Alex	alex1	06.05.2025	06.05.2025	14:39:57.651	12:39:57.651	241196	Normal_300	Tobii I-VT (Fixation)	24.21.435	1080	1920	10,00	1,2	2,3	2,2	0,11	0,20	0,19	4	8	8	3,4	1,2	0,5	0,32	0,11	0,05	12	4	2	6223715132			783	314			783	314				-0,05252	0,00388	-0,99861		2,989	2,989	9,328	9,709	9,519	Invalid	Valid				244,9	84,2	559,9			215,4	86,4															Unclassified	3	1															
206	5657417	Eye Tracker	I-VT-normal	06.05.2025	Alex	alex1	06.05.2025	06.05.2025	14:39:57.651	12:39:57.651	241196	Normal_300	Tobii I-VT (Fixation)	24.21.435	1080	1920	10,00	1,2	2,3	2,2	0,11	0,20	0,19	4	8	8	3,4	1,2	0,5	0,32	0,11	0,05	12	4	2	6223718465																					Invalid	Invalid																									EyesNotFound	87	1															
209	5657421	Eye Tracker	I-VT-normal	06.05.2025	Alex	alex1	06.05.2025	06.05.2025	14:39:57.651	12:39:57.651	241196	Normal_300	Tobii I-VT (Fixation)	24.21.435	1080	1920	10,00	1,2	2,3	2,2	0,11	0,20	0,19	4	8	8	3,4	1,2	0,5	0,32	0,11	0,05	12	4	2	6223721798																					Invalid	Invalid																									EyesNotFound	87	1															
213	5657424	Eye Tracker	I-VT-normal	06.05.2025	Alex	alex1	06.05.2025	06.05.2025	14:39:57.651	12:39:57.651	241196	Normal_300	Tobii I-VT (Fixation)	24.21.435	1080	1920	10,00	1,2	2,3	2,2	0,11	0,20	0,19	4	8	8	3,4	1,2	0,5	0,32	0,11	0,05	12	4	2	6223725132																					Invalid	Invalid																									EyesNotFound	87	1															
216	5657427	Eye Tracker	I-VT-normal	06.05.2025	Alex	alex1	06.05.2025	06.05.2025	14:39:57.651	12:39:57.651	241196	Normal_300	Tobii I-VT (Fixation)	24.21.435	1080	1920	10,00	1,2	2,3	2,2	0,11	0,20	0,19	4	8	8	3,4	1,2	0,5	0,32	0,11	0,05	12	4	2	6223728465																					Invalid	Invalid																									EyesNotFound	87	1															
219	5657431	Eye Tracker	I-VT-normal	06.05.2025	Alex	alex1	06.05.2025	06.05.2025	14:39:57.651	12:39:57.651	241196	Normal_300	Tobii I-VT (Fixation)	24.21.435	1080	1920	10,00	1,2	2,3	2,2	0,11	0,20	0,19	4	8	8	3,4	1,2	0,5	0,32	0,11	0,05	12	4	2	6223731798																					Invalid	Invalid																									EyesNotFound	87	1															
223	5657434	Eye Tracker	I-VT-normal	06.05.2025	Alex	alex1	06.05.2025	06.05.2025	14:39:57.651	12:39:57.651	241196	Normal_300	Tobii I-VT (Fixation)	24.21.435	1080	1920	10,00	1,2	2,3	2,2	0,11	0,20	0,19	4	8	8	3,4	1,2	0,5	0,32	0,11	0,05	12	4	2	6223735132																					Invalid	Invalid																									EyesNotFound	87	1															
226	5657437	Eye Tracker	I-VT-normal	06.05.2025	Alex	alex1	06.05.2025	06.05.2025	14:39:57.651	12:39:57.651	241196	Normal_300	Tobii I-VT (Fixation)	24.21.435	1080	1920	10,00	1,2	2,3	2,2	0,11	0,20	0,19	4	8	8	3,4	1,2	0,5	0,32	0,11	0,05	12	4	2	6223738465																					Invalid	Invalid																									EyesNotFound	87	1															
229	5657441	Eye Tracker	I-VT-normal	06.05.2025	Alex	alex1	06.05.2025	06.05.2025	14:39:57.651	12:39:57.651	241196	Normal_300	Tobii I-VT (Fixation)	24.21.435	1080	1920	10,00	1,2	2,3	2,2	0,11	0,20	0,19	4	8	8	3,4	1,2	0,5	0,32	0,11	0,05	12	4	2	6223741798																					Invalid	Invalid																									EyesNotFound	87	1															
