Alle 83 Zeilen mit Unstimmigkeiten:
================================================================================

Zeile   244 (Zeit    2131.00ms): Ich=Saccade         | Tobii=Fixation       
Zeile   245 (Zeit    2139.00ms): Ich=Saccade         | Tobii=Fixation       
Zeile   588 (Zeit    4998.00ms): Ich=Saccade         | Tobii=Fixation       
Zeile   590 (Zeit    5014.00ms): Ich=Saccade         | Tobii=Fixation       
Zeile   700 (Zeit    5931.00ms): Ich=Saccade         | Tobii=Fixation       
Zeile   702 (Zeit    5948.00ms): Ich=Saccade         | Tobii=Fixation       
Zeile   800 (Zeit    6764.00ms): Ich=Saccade         | Tobii=Fixation       
Zeile   818 (Zeit    6914.00ms): Ich=Saccade         | Tobii=Fixation       
Zeile   884 (Zeit    7464.00ms): Ich=Saccade         | Tobii=Fixation       
Zeile   902 (Zeit    7614.00ms): Ich=Saccade         | Tobii=Fixation       
Zeile   926 (Zeit    7814.00ms): Ich=Saccade         | Tobii=Fixation       
Zeile   927 (Zeit    7823.00ms): Ich=EyesNotFound    | Tobii=Fixation       
Zeile   928 (Zeit    7831.00ms): Ich=Saccade         | Tobii=Fixation       
Zeile   929 (Zeit    7839.00ms): Ich=Saccade         | Tobii=Fixation       
Zeile   930 (Zeit    7848.00ms): Ich=Saccade         | Tobii=Fixation       
Zeile   931 (Zeit    7856.00ms): Ich=EyesNotFound    | Tobii=Fixation       
Zeile   932 (Zeit    7864.00ms): Ich=Unclassified    | Tobii=Fixation       
Zeile   933 (Zeit    7873.00ms): Ich=Unclassified    | Tobii=Fixation       
Zeile   934 (Zeit    7881.00ms): Ich=EyesNotFound    | Tobii=Fixation       
Zeile  1087 (Zeit    9156.00ms): Ich=Saccade         | Tobii=Fixation       
Zeile  1127 (Zeit    9489.00ms): Ich=Fixation        | Tobii=Saccade        
Zeile  1199 (Zeit   10089.00ms): Ich=Saccade         | Tobii=Fixation       
Zeile  1200 (Zeit   10098.00ms): Ich=Saccade         | Tobii=Fixation       
Zeile  1201 (Zeit   10106.00ms): Ich=Saccade         | Tobii=Fixation       
Zeile  1500 (Zeit   12598.00ms): Ich=Fixation        | Tobii=Saccade        
Zeile  1550 (Zeit   13014.00ms): Ich=Saccade         | Tobii=Fixation       
